id:ID(Mention),speaker,group,:LABEL
an-amendement-68847,Mme Ménard,NI,ParliamentMention
an-amendement-66544,"Mme Jourdan, les membres du groupe Socialistes et apparentés",SOC,ParliamentMention
an-amendement-26976,Mme Bassire,LIOT,ParliamentMention
an-amendement-27059,Mme Bassire,LIOT,ParliamentMention
an-amendement-93360,"M. Olive, M. Vojetta, Mme Agresti-Roubache, M. Fugit, M. Ghomi, Mme Brulebois, M. Lamirault, M. Patrier-Leitus, M. Ledoux, Mme Félicie Gérard, M. Pellerin, M. Buchou, M. Abad, M. Cosson, M. Pacquot, M. Lovisolo, Mme Pouzyreff, Mme Spillebout",REN,ParliamentMention
an-amendement-31431,Mme Pouzyreff,REN,ParliamentMention
an-amendement-33207,"Mme Meynier-Millefert, M. Reda, M. Vuilletet, M. Vojetta",REN,ParliamentMention
an-amendement-26307,Mme Pouzyreff,REN,ParliamentMention
an-amendement-24354,"M. Castellani, Mme Bassire, M. Guy Bricout, M. Jean-Louis Bricout, M. Molac, M. Saint-Huile, M. Taupiac",LIOT,ParliamentMention
an-amendement-31673,"M. Pancher, Mme Bassire, M. Castellani, Mme Descamps, M. Mathiasin, M. Molac, M. Morel-À-L'Huissier, M. Panifous, Mme Youssouffa",LIOT,ParliamentMention
an-amendement-101636,M. Lacresse,REN,ParliamentMention
an-amendement-103818,M. Fugit,Inconnu,ParliamentMention
an-amendement-103926,M. Fugit,REN,ParliamentMention
an-amendement-102447,M. Guy Bricout,LIOT,ParliamentMention
an-amendement-103768,"M. Taite, Mme Périgault, M. Neuder, M. Kamardine, Mme Bazin-Malgras, Mme Anthoine, M. Vatin",LR,ParliamentMention
an-amendement-102764,"Mme Louwagie, Mme Genevard, M. Gosselin, M. Ray, M. Vincendet",LR,ParliamentMention
an-amendement-110493,"Mme Corneloup, M. Bony, M. Brigand, M. Bourgeaux, M. Descoeur, M. Cinieri, Mme Duby-Muller, Mme Gruet, M. Dubois, Mme Frédérique Meunier, M. Ray, M. Vatin",LR,ParliamentMention
an-amendement-111648,"Mme Valentin, M. Jean-Pierre Vigier, Mme Périgault, M. Brigand, M. Taite, M. Ray",LR,ParliamentMention
an-amendement-112931,"M. Taupiac, M. Saint-Huile, M. Panifous, Mme Froger, M. Jean-Louis Bricout",LIOT,ParliamentMention
an-amendement-5560,M. Fugit,REN,ParliamentMention
an-amendement-1679,Mme Ménard,NI,ParliamentMention
an-amendement-66312,"Mme Florence Goulet, les membres du groupe Rassemblement National",RN,ParliamentMention
an-amendement-87721,"M. Jumel, M. Chassaigne, M. Monnet",GDR,ParliamentMention
an-amendement-68773,M. Dupont-Aignan,NI,ParliamentMention
an-amendement-67135,Mme Bregeon,REN,ParliamentMention
an-amendement-66518,"M. Marleix, M. Nury, Mme Blin, M. Bourgeaux, M. Cinieri, M. Dive, Mme Duby-Muller, M. Rolland, M. Jean-Pierre Vigier",LR,ParliamentMention
an-amendement-134677,M. Lefèvre,REN,ParliamentMention
an-amendement-103793,M. Sitzenstuhl,REN,ParliamentMention
an-amendement-68942,"Mme Engrand, les membres du groupe Rassemblement National",RN,ParliamentMention
an-amendement-100921,"M. Vatin, M. Emmanuel Maquet, M. Bony, M. Descoeur, Mme Petex-Levet, M. Ray, M. Taite, M. Vermorel-Marques",LR,ParliamentMention
an-amendement-101257,"Mme Magnier, Mme Félicie Gérard, M. Jolivet, M. Plassard, M. Lamirault, M. Albertini, M. Patrier-Leitus, Mme Le Hénanff, M. Valletoux, M. Pradal, M. Larsonneur",HOR,ParliamentMention
