Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BG;Sécurités;SB;176.0;Police nationale;03;Sécurité routière;01;Sécurité routière  - Administration centrale et cabinet;21.0;2;11646393.0;11646393.0;0.0;0.0;Intérieur
BG;Administration générale et territoriale de l'État;AB;216.0;Conduite et pilotage des politiques de l'intérieur;01;État-major et services centraux;;;21.0;2;410559998.0;410559998.0;1440814.0;1440814.0;Intérieur
BG;Aide publique au développement;AD;384.0;Fonds de solidarité pour le développement;01;Fonds de solidarité pour le développement;;;62.0;6;738000000.0;738000000.0;0.0;0.0;Europe et affaires étrangères
BG;Anciens combattants, mémoire et liens avec la Nation;MB;169.0;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;03;Reconnaissance envers le monde combattant;35;Office national des combattants (ONaC) : subventions;53.0;5;650000.0;650000.0;0.0;0.0;Armées et anciens combattants
BG;Écologie, développement et mobilité durables;TA;205.0;Affaires maritimes, pêche et aquaculture;01;Surveillance et sûreté maritimes;;;64.0;6;8336170.0;8336170.0;0.0;0.0;Partenariat avec les collectivités territoriales et décentralisation
BG;Outre-mer;OA;123.0;Conditions de vie outre-mer;02;Aménagement  du territoire;;;31.0;3;970000.0;970000.0;331500.0;331500.0;Outre-Mer
BG;Sécurités;SB;152.0;Gendarmerie nationale;01;Ordre et sécurité publics;01;Ordre et sécurité publics - hors administration centrale et cabinet;22.0;2;2073073727.0;2073073727.0;0.0;0.0;Intérieur
BG;Sécurités;SB;176.0;Police nationale;02;Sécurité et paix publiques;02;Sécurité et paix publiques - Hors administration centrale et cabinet;23.0;2;21665739.0;21665739.0;0.0;0.0;Intérieur
BG;Économie;DB;305.0;Stratégies économiques;02;Développement international de l'économie française;;;22.0;2;10394401.0;10394401.0;0.0;0.0;Économie, finances et industrie
BG;Administration générale et territoriale de l'État;AB;232.0;Vie politique;03;Commission nationale des comptes de campagne et des financements politiques;;;22.0;2;1475130.0;1475130.0;0.0;0.0;Intérieur
BG;Défense;DA;144.0;Environnement et prospective de la politique de défense;07;Prospective de défense;03;Etudes amont;64.0;6;33500000.0;11000000.0;0.0;0.0;Armées et anciens combattants
BG;Enseignement scolaire;EC;139.0;Enseignement privé du premier et du second degrés;10;Formation des personnels enseignants;;;22.0;2;34610122.0;34610122.0;0.0;0.0;Éducation nationale
BG;Direction de l'action du Gouvernement;DC;129.0;Coordination du travail gouvernemental;10;Soutien;;;21.0;2;32706125.0;32706125.0;0.0;0.0;Services du Premier ministre
BA;Publications officielles et information administrative;XJ;624.0;Pilotage et ressources humaines;01;Pilotage, modernisation et activités numériques;;;31.0;3;8135237.0;7424537.0;0.0;0.0;Services du Premier ministre
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;09;Mobilisation des outils du renseignement au service des missions douanières;;;23.0;2;42787.0;42787.0;0.0;0.0;Budget et comptes publics
BG;Outre-mer;OA;138.0;Emploi outre-mer;04;Financement de l'économie;;;62.0;6;7464447.0;5474775.0;0.0;0.0;Outre-Mer
BG;Cohésion des territoires;VA;135.0;Urbanisme, territoires et amélioration de l'habitat;07;Urbanisme et aménagement;;;62.0;6;49191250.0;49187250.0;0.0;0.0;Logement et rénovation urbaine
BG;Culture;CB;131.0;Création;01;Soutien à la création, à la production et à la diffusion du spectacle vivant;;;32.0;3;278127942.0;278127942.0;0.0;0.0;Culture
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;50;Communiquer - Transmission;64.0;6;9040000.0;466553.0;0.0;0.0;Armées et anciens combattants
BG;Direction de l'action du Gouvernement;DC;129.0;Coordination du travail gouvernemental;02;Coordination de la sécurité et de la défense;;;23.0;2;1836360.0;1836360.0;0.0;0.0;Services du Premier ministre
BG;Outre-mer;OA;123.0;Conditions de vie outre-mer;03;Continuité territoriale;;;64.0;6;2040000.0;2040000.0;0.0;0.0;Outre-Mer
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;06;Soutien;;;51.0;5;16043829.0;18288335.0;0.0;0.0;Europe et affaires étrangères
BG;Aide publique au développement;AD;110.0;Aide économique et financière au développement;02;Aide économique et financière bilatérale;;;63.0;6;0.0;2000000.0;0.0;0.0;Économie, finances et industrie
BG;Conseil et contrôle de l'État;CA;165.0;Conseil d'État et autres juridictions administratives;06;Soutien;;;23.0;2;387055.0;387055.0;0.0;0.0;Services du Premier ministre
BG;Direction de l'action du Gouvernement;DC;308.0;Protection des droits et libertés;03;Autorité de régulation de la communication audiovisuelle et numérique;;;64.0;6;51235879.0;51235879.0;0.0;0.0;Services du Premier ministre
BG;Administration générale et territoriale de l'État;AB;216.0;Conduite et pilotage des politiques de l'intérieur;03;Numérique;;;52.0;5;46091816.0;45791140.0;0.0;0.0;Intérieur
BG;Sécurités;SB;176.0;Police nationale;02;Sécurité et paix publiques;02;Sécurité et paix publiques - Hors administration centrale et cabinet;22.0;2;1566904245.0;1566904245.0;0.0;0.0;Intérieur
BG;Économie;DB;220.0;Statistiques et études économiques;08;Information économique, démographique et sociale;;;23.0;2;1020991.0;1020991.0;2811.0;2811.0;Économie, finances et industrie
BG;Sécurités;SB;176.0;Police nationale;03;Sécurité routière;02;Sécurité routière - Hors administration centrale et cabinets;23.0;2;2329336.0;2329336.0;0.0;0.0;Intérieur
BG;Sécurités;SB;176.0;Police nationale;04;Police des étrangers et sûreté des transports internationaux;03;Autres actions relatives à la police des étrangers et à la sureté des transports internationaux - Administration centrale et cabinets;21.0;2;32649538.0;32649538.0;0.0;0.0;Intérieur
BG;Conseil et contrôle de l'État;CA;165.0;Conseil d'État et autres juridictions administratives;08;Commission du contentieux du stationnement payant;;;21.0;2;5889896.0;5889896.0;0.0;0.0;Services du Premier ministre
BG;Écologie, développement et mobilité durables;TA;235.0;Sûreté nucléaire et radioprotection;02;Sûreté nucléaire et radio-protection;;;52.0;5;815000.0;815000.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Défense;DA;212.0;Soutien de la politique de la défense;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";02;Renseignement de sécurité et de défense;22.0;2;63962472.0;63962472.0;0.0;0.0;Armées et anciens combattants
BG;Agriculture, alimentation, forêt et affaires rurales;AC;215.0;Conduite et pilotage des politiques de l'agriculture;02;Évaluation de l'impact des politiques publiques et information économique;;;21.0;2;5083696.0;5083696.0;0.0;0.0;Agriculture, souveraineté alimentaire et forêt
BG;Enseignement scolaire;EC;214.0;Soutien de la politique de l'éducation nationale;02;Évaluation et contrôle;;;21.0;2;56371993.0;56371993.0;110000.0;110000.0;Éducation nationale
BG;Recherche et enseignement supérieur;RA;190.0;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;14;Recherche et développement dans le domaine de l'aéronautique civile;01;Recherches en amont;62.0;6;48481481.0;35426227.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;09;Formation continue des adultes et validation des acquis de l'expérience;;;21.0;2;83453984.0;83453984.0;0.0;0.0;Éducation nationale
CAS;Pensions;YD;742.0;Ouvriers des établissements industriels de l'État;01;Prestations vieillesse et invalidité;;;23.0;2;2022106253.0;2022106253.0;0.0;0.0;Budget et comptes publics
BG;Défense;DA;212.0;Soutien de la politique de la défense;06;Politiques des ressources humaines;04;Action sociale et inclusion;31.0;3;150026435.0;147439971.0;0.0;0.0;Armées et anciens combattants
BG;Défense;DA;212.0;Soutien de la politique de la défense;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";05;Service du commissariat des armées;23.0;2;9825756.0;9825756.0;0.0;0.0;Armées et anciens combattants
BG;Enseignement scolaire;EC;141.0;Enseignement scolaire public du second degré;06;Besoins éducatifs particuliers;;;64.0;6;2797227.0;2797227.0;0.0;0.0;Éducation nationale
BG;Action extérieure de l'État;AA;105.0;Action de la France en Europe et dans le monde;10;"Personnel concourant à l'action ""Instruction des demandes de visa""";;;22.0;2;9487483.0;9487483.0;0.0;0.0;Europe et affaires étrangères
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;46;Espace - Commander et conduire - OMEGA;51.0;5;0.0;83818371.0;0.0;0.0;Armées et anciens combattants
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;36;Communiquer - CONTACT;31.0;3;17500000.0;23225541.0;0.0;0.0;Armées et anciens combattants
BG;Immigration, asile et intégration;IA;104.0;Intégration et accès à la nationalité française;11;Accueil des étrangers primo arrivants;;;53.0;5;9450000.0;9450000.0;0.0;0.0;Intérieur
BG;Sport, jeunesse et vie associative;SF;219.0;Sport;04;Promotion des métiers du sport;;;31.0;3;2581662.0;2581662.0;0.0;0.0;Sports, jeunesse et vie associative
BG;Défense;DA;178.0;Préparation et emploi des forces;06;Surcoûts liés aux opérations extérieures;;;31.0;3;540000000.0;540000000.0;0.0;0.0;Armées et anciens combattants
